marca;modelo;anio;km;ciudad;provincia;precio_usd;categoria
Chevrolet;Onix;2018;73000;Hurlingham;Buenos Aires (A.M.B.A.);6451.61;
Chevrolet;Cruze 5;2023;102000;Saavedra;Ciudad Autónoma Buenos Aires;16129.03;
Citroën;Berlingo Multispace;2017;84000;Flores;Ciudad Autónoma Buenos Aires;10903.23;
Renault;Kangoo;2014;84004;Flores;Ciudad Autónoma Buenos Aires;8322.58;
Volkswagen;Gol Trend;2020;20000;Flores;Ciudad Autónoma Buenos Aires;1290.32;
Volkswagen;Polo 5P;2024;25000;Flores;Ciudad Autónoma Buenos Aires;2258.06;
Renault;Kwid;2018;100000;Florencio Varela;Buenos Aires (A.M.B.A.);5335.48;
Volkswagen;Polo 5P;2024;22000;Flores;Ciudad Autónoma Buenos Aires;3225.81;
Peugeot;208;2023;26000;Caballito;Ciudad Autónoma Buenos Aires;10000.0;
FIAT;Grand Siena;2014;95000;Saavedra;Ciudad Autónoma Buenos Aires;7741.94;
Ford;EcoSport;2016;79000;Vicente Lopez;Buenos Aires (A.M.B.A.);11935.48;
Chevrolet;Agile;2013;135000;Escobar;Buenos Aires (A.M.B.A.);7741.94;
Toyota;Yaris Cross;2026;3000;Chacarita;Ciudad Autónoma Buenos Aires;30500.0;
Ford;Territory;2025;10000;Rosario;Santa Fe;31612.9;
Toyota;Corolla Cross Hybrid;2021;92000;Río Cuarto;Córdoba;13548.39;
Toyota;RAV4;2011;92000;Monserrat;Ciudad Autónoma Buenos Aires;13870.97;
FIAT;Toro;2017;95000;La Plata;Buenos Aires;13548.39;
Ford;EcoSport;2018;101000;Banfield;Buenos Aires (A.M.B.A.);11935.48;
Citroën;C4 Cactus;2021;47000;Río Cuarto;Córdoba;7741.94;
Toyota;Corolla;2013;116000;Flores;Ciudad Autónoma Buenos Aires;9677.42;
Ford;EcoSport;2014;95000;Quilmes;Buenos Aires (A.M.B.A.);6291.94;
Toyota;Hilux;2023;118000;Río Cuarto;Córdoba;18064.52;
Renault;Clio Mío;2015;147000;Rosario;Santa Fe;3870.97;
Peugeot;2008;2025;2000;Caballito;Ciudad Autónoma Buenos Aires;5161.29;
Citroën;Xsara Picasso;2005;200000;Rosario;Santa Fe;1935.48;
FIAT;Argo;2019;49500;Lanus;Buenos Aires (A.M.B.A.);10000.0;
Chevrolet;Onix;2024;20000;Flores;Ciudad Autónoma Buenos Aires;1935.48;
Ford;Focus Sedán;2014;240000;Flores;Ciudad Autónoma Buenos Aires;9000.0;
FIAT;Siena;2015;104000;Río Cuarto;Córdoba;4838.71;
Chery;Tiggo;2015;163200;Bahía Blanca;Buenos Aires;9500.0;
Volkswagen;Voyage;2015;150000;Florencio Varela;Buenos Aires (A.M.B.A.);5483.87;
Volkswagen;T-Cross;2024;22500;Flores;Ciudad Autónoma Buenos Aires;1935.48;
Ford;Ranger;2012;270000;Rosario;Santa Fe;5483.87;
Renault;Captur;2017;44000;Morteros;Córdoba;14193.55;
Peugeot;2008;2025;15000;Caballito;Ciudad Autónoma Buenos Aires;5806.45;
Toyota;SW4;2013;310000;Del Viso;Buenos Aires (A.M.B.A.);27000.0;
Toyota;Hilux;2018;80000;Mendoza;Mendoza;35000.0;
Peugeot;Partner;2026;10000;Caballito;Ciudad Autónoma Buenos Aires;6451.61;
Ford;Fiesta Kinetic;2017;132000;Velez Sarsfield;Ciudad Autónoma Buenos Aires;8935.48;
Chevrolet;Montana;2025;1399;Flores;Ciudad Autónoma Buenos Aires;1935.48;
Peugeot;308;2012;68000;La Plata;Buenos Aires;6451.61;
Volkswagen;Tera;2026;2000;Flores;Ciudad Autónoma Buenos Aires;1935.48;
Honda;Civic;2008;89000;Resistencia;Chaco;7741.94;
