marca,modelo,anio,km,precio,moneda,ciudad,provincia
Chevrolet,Onix,2018,73000,10000000.0,ARS,Hurlingham,Buenos Aires (A.M.B.A.)
Chevrolet,Cruze 5,2023,102000,25000000.0,ARS,Saavedra,Ciudad Autónoma Buenos Aires
Citroën,Berlingo Multispace,2017,84000,16900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Kangoo,2014,84004,12900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol Trend,2020,20000,1999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,25000,3500000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Kwid,2018,100000,8270000.0,ARS,Florencio Varela,Buenos Aires (A.M.B.A.)
Volkswagen,Polo 5P,2024,22000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,208,2023,26000,15500000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
FIAT,Grand Siena,2014,95000,12000000.0,ARS,Saavedra,Ciudad Autónoma Buenos Aires
Ford,EcoSport,2016,79000,18500000.0,ARS,Vicente Lopez,Buenos Aires (A.M.B.A.)
Chevrolet,Agile,2013,135000,12000000.0,ARS,Escobar,Buenos Aires (A.M.B.A.)
Toyota,Yaris Cross,2026,3000,30500.0,USD,Chacarita,Ciudad Autónoma Buenos Aires
Ford,Territory,2025,10000,49000000.0,ARS,Rosario,Santa Fe
Toyota,Corolla Cross Hybrid,2021,92000,21000000.0,ARS,Río Cuarto,Córdoba
Toyota,RAV4,2011,92000,21500000.0,ARS,Monserrat,Ciudad Autónoma Buenos Aires
FIAT,Toro,2017,95000,21000000.0,ARS,La Plata,Buenos Aires
Ford,EcoSport,2018,101000,18500000.0,ARS,Banfield,Buenos Aires (A.M.B.A.)
Citroën,C4 Cactus,2021,47000,12000000.0,ARS,Río Cuarto,Córdoba
Toyota,Corolla,2013,116000,15000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,EcoSport,2014,95000,9752500.0,ARS,Quilmes,Buenos Aires (A.M.B.A.)
Toyota,Hilux,2023,118000,28000000.0,ARS,Río Cuarto,Córdoba
Renault,Clio Mío,2015,147000,6000000.0,ARS,Rosario,Santa Fe
Peugeot,2008,2025,2000,8000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Citroën,Xsara Picasso,2005,200000,3000000.0,ARS,Rosario,Santa Fe
FIAT,Argo,2019,49500,15500000.0,ARS,Lanus,Buenos Aires (A.M.B.A.)
Chevrolet,Onix,2024,20000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Focus Sedán,2014,240000,9000.0,USD,Flores,Ciudad Autónoma Buenos Aires
FIAT,Siena,2015,104000,7500000.0,ARS,Río Cuarto,Córdoba
Chery,Tiggo,2015,163200,9500.0,USD,Bahía Blanca,Buenos Aires
Volkswagen,Voyage,2015,150000,8500000.0,ARS,Florencio Varela,Buenos Aires (A.M.B.A.)
Volkswagen,T-Cross,2024,22500,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Onix Plus,2023,955000,11000000.0,ARS,Lanus,Buenos Aires (A.M.B.A.)
Ford,Ranger,2012,270000,8500000.0,ARS,Rosario,Santa Fe
Renault,Captur,2017,44000,22000000.0,ARS,Morteros,Córdoba
Peugeot,2008,2025,15000,9000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Toyota,SW4,2013,310000,27000.0,USD,Del Viso,Buenos Aires (A.M.B.A.)
Peugeot,208,2018,870000,7500000.0,ARS,Lanus,Buenos Aires (A.M.B.A.)
Toyota,Hilux,2018,80000,35000.0,USD,Mendoza,Mendoza
Peugeot,Partner,2026,10000,10000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Ford,Fiesta Kinetic,2017,132000,13850000.0,ARS,Velez Sarsfield,Ciudad Autónoma Buenos Aires
Chevrolet,Montana,2025,1399,2999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,308,2012,68000,10000000.0,ARS,La Plata,Buenos Aires
Volkswagen,Tera,2026,2000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Honda,Civic,2008,89000,12000000.0,ARS,Resistencia,Chaco
Volkswagen,Gol Trend,2015,74000,9500.0,USD,Floresta,Ciudad Autónoma Buenos Aires
Renault,Sandero Stepway,2012,140000,7000000.0,ARS,Río Cuarto,Córdoba
Renault,Clio Mío,2015,112000,7900000.0,ARS,Río Cuarto,Córdoba
Toyota,SW4,2019,91700,33500.0,USD,La Plata,Buenos Aires
Chevrolet,Tracker,2020,55000,28500000.0,ARS,Barracas,Ciudad Autónoma Buenos Aires
Volkswagen,T-Cross,2024,17500,4674999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,22500,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,208,2022,31000,10000000.0,ARS,Caballito,Ciudad Autónoma Buenos Aires
Toyota,Corolla,2019,142000,27000000.0,ARS,Córdoba,Córdoba
FIAT,Toro,2024,15000,3000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ranger,2021,68000,43800000.0,ARS,Salta,Salta
Volkswagen,Taos,2024,25000,7499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Onix,2019,67000,16900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2024,22500,3999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chevrolet,Corsa,2009,102000,5000.0,USD,Ezpeleta,Buenos Aires (A.M.B.A.)
Volkswagen,Polo 5P,2024,17500,3999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Peugeot,3008 SUV,2024,15000,36900.0,USD,Villa Urquiza,Ciudad Autónoma Buenos Aires
Peugeot,208,2015,75000,10800.0,USD,Belgrano,Ciudad Autónoma Buenos Aires
DFSK,Glory 580,2025,15000,20000.0,USD,Bahía Blanca,Buenos Aires
FIAT,Idea,2017,84000,13500000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Ranger,2022,40000,27000.0,USD,Quilmes,Buenos Aires (A.M.B.A.)
Peugeot,2008,2024,59000,31800000.0,ARS,La Plata,Buenos Aires
Renault,Sandero Stepway,2012,130000,11800000.0,ARS,La Emilia,Buenos Aires
Peugeot,308,2017,119000,13900000.0,ARS,Córdoba,Córdoba
Volkswagen,Gol Trend,2019,55340,8000.0,ARS,San Cristóbal,Ciudad Autónoma Buenos Aires
Ford,Fiesta Kinetic,2019,59000,19600000.0,ARS,La Puntilla,Mendoza
Hyundai,i10,2014,110000,11500000.0,ARS,Resistencia,Chaco
Nissan,March,2016,110000,13900000.0,ARS,Villa Del Parque,Ciudad Autónoma Buenos Aires
Volkswagen,T-Cross,2024,19500,3499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Honda,HR-V,2018,79200,24000000.0,ARS,Resistencia,Chaco
Renault,Duster,2016,160000,13000.0,USD,Quilmes Oeste,Buenos Aires (A.M.B.A.)
Peugeot,308,2012,156000,12400000.0,ARS,Banfield,Buenos Aires (A.M.B.A.)
Hyundai,Creta,2018,101000,24000000.0,ARS,General Fernández Oro,Río Negro
Volkswagen,Polo 5P,2024,20000,3599999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Gol,2013,94000,8900000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Clio Mío,2015,105000,10800000.0,ARS,Maipu,Mendoza
Volkswagen,Voyage,2016,77000,13600000.0,ARS,Las Heras,Mendoza
BMW,X1,2016,113000,30900.0,USD,Villa Devoto,Ciudad Autónoma Buenos Aires
Renault,Kwid,2025,6794,20400000.0,ARS,El Palomar,Buenos Aires (A.M.B.A.)
Volkswagen,Nivus,2024,17500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Ford,Focus,2018,125000,20300000.0,ARS,San Carlos de Bariloche,Río Negro
