marca,km,provincia,precio_usd,carroceria,antiguedad
Chevrolet,73000,Buenos Aires (A.M.B.A.),6451.61,Hatchback,8
Chevrolet,102000,Ciudad Autónoma Buenos Aires,16129.03,Hatchback,3
Citroën,84000,Ciudad Autónoma Buenos Aires,10903.23,Minivan,9
Renault,84004,Ciudad Autónoma Buenos Aires,8322.58,Furgón,12
Volkswagen,20000,Ciudad Autónoma Buenos Aires,1290.32,Hatchback,6
Volkswagen,25000,Ciudad Autónoma Buenos Aires,2258.06,Hatchback,2
Renault,100000,Buenos Aires (A.M.B.A.),5335.48,Hatchback,8
Volkswagen,22000,Ciudad Autónoma Buenos Aires,3225.81,Hatchback,2
Peugeot,26000,Ciudad Autónoma Buenos Aires,10000.0,Hatchback,3
FIAT,95000,Ciudad Autónoma Buenos Aires,7741.94,Sedán,12
Ford,79000,Buenos Aires (A.M.B.A.),11935.48,SUV,10
Chevrolet,135000,Buenos Aires (A.M.B.A.),7741.94,Hatchback,13
Toyota,3000,Ciudad Autónoma Buenos Aires,30500.0,SUV,0
Ford,10000,Santa Fe,31612.9,SUV,1
Toyota,92000,Córdoba,13548.39,SUV,5
Toyota,92000,Ciudad Autónoma Buenos Aires,13870.97,SUV,15
FIAT,95000,Buenos Aires,13548.39,Pickup,9
Ford,101000,Buenos Aires (A.M.B.A.),11935.48,SUV,8
Citroën,47000,Córdoba,7741.94,SUV,5
Toyota,116000,Ciudad Autónoma Buenos Aires,9677.42,Sedán,13
Ford,95000,Buenos Aires (A.M.B.A.),6291.94,SUV,12
Toyota,118000,Córdoba,18064.52,Pickup,3
Renault,147000,Santa Fe,3870.97,Hatchback,11
Peugeot,2000,Ciudad Autónoma Buenos Aires,5161.29,SUV,1
Citroën,200000,Santa Fe,1935.48,Minivan,21
FIAT,49500,Buenos Aires (A.M.B.A.),10000.0,Hatchback,7
Chevrolet,20000,Ciudad Autónoma Buenos Aires,1935.48,Hatchback,2
Ford,240000,Ciudad Autónoma Buenos Aires,9000.0,Sedán,12
FIAT,104000,Córdoba,4838.71,Sedán,11
Chery,163200,Buenos Aires,9500.0,SUV,11
Volkswagen,150000,Buenos Aires (A.M.B.A.),5483.87,Sedán,11
Volkswagen,22500,Ciudad Autónoma Buenos Aires,1935.48,SUV,2
Chevrolet,955000,Buenos Aires (A.M.B.A.),7096.77,Sedán,3
Ford,270000,Santa Fe,5483.87,Pickup,14
Renault,44000,Córdoba,14193.55,SUV,9
Peugeot,15000,Ciudad Autónoma Buenos Aires,5806.45,SUV,1
Toyota,310000,Buenos Aires (A.M.B.A.),27000.0,SUV,13
Peugeot,870000,Buenos Aires (A.M.B.A.),4838.71,Hatchback,8
Toyota,80000,Mendoza,35000.0,Pickup,8
Peugeot,10000,Ciudad Autónoma Buenos Aires,6451.61,Furgón,0
Ford,132000,Ciudad Autónoma Buenos Aires,8935.48,Hatchback,9
Chevrolet,1399,Ciudad Autónoma Buenos Aires,1935.48,Pickup,1
Peugeot,68000,Buenos Aires,6451.61,Hatchback,14
Volkswagen,2000,Ciudad Autónoma Buenos Aires,1935.48,SUV,0
Honda,89000,Chaco,7741.94,Sedán,18
Volkswagen,74000,Ciudad Autónoma Buenos Aires,9500.0,Hatchback,11
Renault,140000,Córdoba,4516.13,SUV,14
Renault,112000,Córdoba,5096.77,Hatchback,11
Toyota,91700,Buenos Aires,33500.0,SUV,7
Chevrolet,55000,Ciudad Autónoma Buenos Aires,18387.1,SUV,6
Volkswagen,17500,Ciudad Autónoma Buenos Aires,3016.13,SUV,2
Volkswagen,22500,Ciudad Autónoma Buenos Aires,1935.48,Hatchback,2
Peugeot,31000,Ciudad Autónoma Buenos Aires,6451.61,Hatchback,4
Toyota,142000,Córdoba,17419.35,Sedán,7
FIAT,15000,Ciudad Autónoma Buenos Aires,1935.48,Pickup,2
Ford,68000,Salta,28258.06,Pickup,5
Volkswagen,25000,Ciudad Autónoma Buenos Aires,4838.71,SUV,2
Chevrolet,67000,Ciudad Autónoma Buenos Aires,10903.23,Hatchback,7
Volkswagen,22500,Ciudad Autónoma Buenos Aires,2580.64,Hatchback,2
Chevrolet,102000,Buenos Aires (A.M.B.A.),5000.0,Hatchback,17
Volkswagen,17500,Ciudad Autónoma Buenos Aires,2580.64,Hatchback,2
Peugeot,15000,Ciudad Autónoma Buenos Aires,36900.0,SUV,2
Peugeot,75000,Ciudad Autónoma Buenos Aires,10800.0,Hatchback,11
DFSK,15000,Buenos Aires,20000.0,SUV,1
FIAT,84000,Ciudad Autónoma Buenos Aires,8709.68,Minivan,9
Ford,40000,Buenos Aires (A.M.B.A.),27000.0,Pickup,4
Peugeot,59000,Buenos Aires,20516.13,SUV,2
Renault,130000,Buenos Aires,7612.9,SUV,14
Peugeot,119000,Córdoba,8967.74,Hatchback,9
Ford,59000,Mendoza,12645.16,Hatchback,7
Hyundai,110000,Chaco,7419.35,Hatchback,12
Nissan,110000,Ciudad Autónoma Buenos Aires,8967.74,Hatchback,10
Volkswagen,19500,Ciudad Autónoma Buenos Aires,2258.06,SUV,2
Honda,79200,Chaco,15483.87,SUV,8
Renault,160000,Buenos Aires (A.M.B.A.),13000.0,SUV,10
Peugeot,156000,Buenos Aires (A.M.B.A.),8000.0,Hatchback,14
Hyundai,101000,Río Negro,15483.87,SUV,8
Volkswagen,20000,Ciudad Autónoma Buenos Aires,2322.58,Hatchback,2
Volkswagen,94000,Ciudad Autónoma Buenos Aires,5741.94,Hatchback,13
Renault,105000,Mendoza,6967.74,Hatchback,11
Volkswagen,77000,Mendoza,8774.19,Sedán,10
