marca,modelo,carroceria
Agrale,Marruá,Utilitario
Alfa Romeo,MiTo,Hatchback
Alfa Romeo,Stelvio,SUV
Audi,A1,Hatchback
Audi,A1 Sportback,Hatchback
Audi,A3 Sedán,Sedán
Audi,A3 Sportback,Hatchback
Audi,A4,Sedán
Audi,A5 Coupé,Coupé
Audi,A5 Sportback,Hatchback
Audi,A6,Sedán
Audi,A6 Allroad,Wagon
Audi,Q2,SUV
Audi,Q3,SUV
Audi,Q5,SUV
Audi,Q7,SUV
Audi,Q8,SUV
Audi,RS 3 Sportback,Hatchback
Audi,TT Coupé,Coupé
BAIC,BJ30,SUV
BAIC,X35,SUV
BAIC,X55 II,SUV
BMW,M3 Sedán,Sedán
BMW,M6 Coupé,Coupé
BMW,Serie 1,Hatchback
BMW,Serie 2 Convertible,Cabriolet
BMW,Serie 2 Coupé,Coupé
BMW,Serie 3 Coupé,Coupé
BMW,Serie 3 Sedán,Sedán
BMW,X1,SUV
BMW,X3,SUV
BMW,X4,SUV
BMW,X5,SUV
BMW,X6,SUV
Chery,Face,Hatchback
Chery,QQ,Hatchback
Chery,Skin,Hatchback
Chery,Tiggo,SUV
Chery,Tiggo 2,SUV
Chery,Tiggo 2 PRO,SUV
Chery,Tiggo 3,SUV
Chery,Tiggo 4 Hybrid,SUV
Chery,Tiggo 5,SUV
Chery,Tiggo 7 Pro Hybrid,SUV
Chevrolet,Agile,Hatchback
Chevrolet,Apache,Pickup
Chevrolet,Astra,Hatchback
Chevrolet,Aveo,Sedán
Chevrolet,Blazer,SUV
Chevrolet,C 10,Pickup
Chevrolet,Captiva,SUV
Chevrolet,Celta,Hatchback
Chevrolet,Classic,Sedán
Chevrolet,Classic Wagon,Wagon
Chevrolet,Cobalt,Sedán
Chevrolet,Corsa,Hatchback
Chevrolet,Corsa Classic,Hatchback
Chevrolet,Corsa Wagon,Wagon
Chevrolet,Cruze,Sedán
Chevrolet,Cruze 5,Hatchback
Chevrolet,Cruze RS,Hatchback
Chevrolet,Equinox,SUV
Chevrolet,Meriva,Minivan
Chevrolet,Montana,Pickup
Chevrolet,Onix,Hatchback
Chevrolet,Onix Joy,Hatchback
Chevrolet,Onix Joy Plus,Sedán
Chevrolet,Onix Plus,Sedán
Chevrolet,Prisma,Sedán
Chevrolet,Prisma Joy,Sedán
Chevrolet,S 10,Pickup
Chevrolet,Sonic,Hatchback
Chevrolet,Sonic Sedán,Sedán
Chevrolet,Spark,Hatchback
Chevrolet,Spin,Minivan
Chevrolet,Spin Activ,Minivan
Chevrolet,Tracker,SUV
Chevrolet,Trailblazer,SUV
Chevrolet,Vectra,Sedán
Chevrolet,Zafira,Minivan
Chrysler,300,Sedán
Citroën,Basalt,SUV
Citroën,Berlingo Furgón,Furgón
Citroën,Berlingo Multispace,Minivan
Citroën,C-Elysée,Sedán
Citroën,C3,Hatchback
Citroën,C3 Aircross,SUV
Citroën,C3 Picasso,Minivan
Citroën,C3 XTR,Hatchback
Citroën,C4,Hatchback
